game_no,round_no,game_code,game_day,game_date,hmaw_status,home_team,ht_code,away_team,at_code,ground_name,game_time,time_slot,game_state
62,7,R07Mel,Sunday,7/5/17,H,Melbourne,Mel,Hawthorn,Haw,MCG,3:20 pm,D,VIC
63,7,R07Fre,Sunday,7/5/17,H,Fremantle,Fre,Essendon,Ess,Domain Stadium,4:40 pm,T,WA
64,8,R08WCE,Friday,12/5/17,H,WCE,WCE,Western Bulldogs,Wes,Domain Stadium,8:10 pm,N,WA
65,8,R08Haw,Saturday,13/5/17,H,Hawthorn,Haw,Brisbane,Bri,University of Tasmania Stadium,1:45 pm,D,TAS
66,8,R08StK,Saturday,13/5/17,H,StKilda,StK,Carlton,Car,Etihad Stadium,2:10 pm,D,VIC
67,8,R08Gre,Saturday,13/5/17,H,Greater Western Sydney,Gre,Collingwood,Col,Spotless Stadium,4:35 pm,T,NSW
68,8,R08Ess,Saturday,13/5/17,H,Essendon,Ess,Geelong,Gee,MCG,7:25 pm,N,VIC
69,8,R08Ade,Saturday,13/5/17,H,Adelaide,Ade,Melbourne,Mel,Adelaide Oval,7:40 pm,N,SA
70,8,R08Ric,Sunday,14/5/17,H,Richmond,Ric,Fremantle,Fre,MCG,1:10 pm,D,VIC
71,8,R08Gol,Sunday,14/5/17,H,Gold Coast,Gol,Port Adelaide,Por,Jiangwan Sports Centre,3:20 pm,D,CHI
72,8,R08Nor,Sunday,14/5/17,H,North Melbourne,Nor,Sydney,Syd,Etihad Stadium,4:40 pm,T,VIC
73,9,R09Gee,Friday,19/5/17,H,Geelong,Gee,Western Bulldogs,Wes,Simonds Stadium,7:50 pm,N,VIC
74,9,R09StK,Saturday,20/5/17,H,StKilda,StK,Sydney,Syd,Etihad Stadium,1:45 pm,D,VIC
75,9,R09Gre,Saturday,20/5/17,H,Greater Western Sydney,Gre,Richmond,Ric,Spotless Stadium,4:35 pm,T,NSW
76,9,R09Bri,Saturday,20/5/17,H,Brisbane,Bri,Adelaide,Ade,Gabba,7:25 pm,N,QLD
77,9,R09Col,Saturday,20/5/17,H,Collingwood,Col,Hawthorn,Haw,MCG,7:25 pm,N,VIC
78,9,R09Ess,Sunday,21/5/17,H,Essendon,Ess,WCE,WCE,Etihad Stadium,1:10 pm,D,VIC
79,9,R09Mel,Sunday,21/5/17,H,Melbourne,Mel,North Melbourne,Nor,MCG,3:20 pm,D,VIC
80,9,R09Fre,Sunday,21/5/17,H,Fremantle,Fre,Carlton,Car,Domain Stadium,4:40 pm,T,WA
81,10,R10Gee,Thursday,25/5/17,H,Geelong,Gee,Port Adelaide,Por,Simonds Stadium,7:20 pm,N,VIC
82,10,R10Syd,Friday,26/5/17,H,Sydney,Syd,Hawthorn,Haw,SCG,7:50 pm,N,NSW
83,10,R10Wes,Saturday,27/5/17,H,Western Bulldogs,Wes,StKilda,StK,Etihad Stadium,1:45 pm,D,VIC
